UrSEC Description,,,,,,,,,,
تشریح,جذبات,صنف,اداکار,اداکار  کاآئی ڈی نمبر,نمونہ کی شکل,نمونہ کی شرح,فارمیٹ,دورانیہ سیکنڈز میں ,فائل کا نام,سیریل نمبر
اور تم سارے شہر میں یہ ڈھنڈورا پیٹتی آ رہی ہو ,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_01,1
تم نہیں سمجھ رہی ہو تمہیں سمجھ نہیں آ رہی ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_02,2
نکلو یہاں سے باہر، چلو جاؤ,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_03,3
بکواس کر رہے ہو تم,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_1_04,4
اگر اسے بات کرنے کی تمیز نہیں ہے تو اسے اس گھر میں بھی رہنے کی کوئی ضرورت نہیں ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_1_05,5
احسان کے گھر میں پینٹ کا کام مکمل نہیں ہوا ابھی تک اور تم کہہ رہے ہو کہ میں نے سارے کام کر دیے ہیں ,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_06,6
زبیر بس بس، چلو یہاں سے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_07,7
بس بس میں آ گیا ہوں نا مرتسم خان، مجھ سے بات کرو,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,6,1_0_1_08,8
میں نے دوستی کا ہاتھ بڑھایا تو ہاتھ تھام لیا اس نے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_09,9
زبیر ملک بس، تم نے اس کی بیوی کو اغوا کیا,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_10,10
اس لیے کہ تم میری اکلوتی اولاد ہو، نہیں کھونا چاہتا تمہیں ,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_11,11
